"EntraID","DisplayName","UserPrincipalName","JobTitle","Department","City","Country","UsageLocation","ManagerName","ManagerUPN","HasCopilotLicense"
"c1a8d418-fe1b-3536-97a2-e79e26f7966f","Kendall Underhill","kendall.underhill@contoso.com","Chief Executive Officer","Executive","Austin","United States","US","","","True"
"d7e6eb0c-de0a-54f7-14f8-04c744617fd6","Parker Garrison","parker.garrison@contoso.com","Director of Finance","Finance","Seattle","United States","US","Kendall Underhill","kendall.underhill@contoso.com","True"
"440f9305-daaf-77f7-0a90-03234e1c9332","Reese Calloway","reese.calloway@contoso.com","Budget Analyst","Finance","Reston","United States","US","Parker Garrison","parker.garrison@contoso.com","True"
"db923c22-3da3-21a6-e64a-81dbfc0658d7","Parker Draper","parker.draper@contoso.com","Budget Analyst","Finance","Denver","United States","US","Parker Garrison","parker.garrison@contoso.com","True"
"a3006809-45f5-a4ec-b386-86ce6de3567c","Avery Underhill","avery.underhill@contoso.com","Budget Analyst","Finance","Reston","United States","US","Parker Garrison","parker.garrison@contoso.com","True"
"47824524-1552-5b3b-6943-de23cd18d491","Taylor Thackeray","taylor.thackeray@contoso.com","Financial Analyst","Finance","Seattle","United States","US","Parker Garrison","parker.garrison@contoso.com","True"
"0dfac433-228e-5a01-2a4e-67af87e4227e","Morgan Merritt","morgan.merritt@contoso.com","Senior Accountant","Finance","Denver","United States","US","Parker Garrison","parker.garrison@contoso.com","False"
"424948b1-aaa8-caa0-82ea-305ea496d8f1","Rowan Lockwood","rowan.lockwood@contoso.com","Director of Engineering","Engineering","Austin","United States","US","Kendall Underhill","kendall.underhill@contoso.com","True"
"f53f0039-7476-3446-b113-dc09c80934e9","Sawyer Whitlock","sawyer.whitlock@contoso.com","Senior Engineer","Engineering","Seattle","United States","US","Rowan Lockwood","rowan.lockwood@contoso.com","False"
"f0f96f7f-18c2-f2ae-a1f6-21df3c77480a","Parker Northrop","parker.northrop@contoso.com","Program Manager","Engineering","Reston","United States","US","Rowan Lockwood","rowan.lockwood@contoso.com","True"
"5453d7d1-8ddc-07a3-ff34-d6d69bba9145","Jordan Oakley","jordan.oakley@contoso.com","Program Manager","Engineering","Seattle","United States","US","Rowan Lockwood","rowan.lockwood@contoso.com","False"
"29bb1d0f-918c-dfec-3521-2d93c0ad98a5","Logan Holloway","logan.holloway@contoso.com","Senior Engineer","Engineering","Denver","United States","US","Rowan Lockwood","rowan.lockwood@contoso.com","True"
"094ac1a2-bca1-c4b7-477e-dac255c1b998","Devon Whitlock","devon.whitlock@contoso.com","Program Manager","Engineering","Reston","United States","US","Rowan Lockwood","rowan.lockwood@contoso.com","True"
"13ca28b7-42a9-0cda-f8a0-69cccf8c566d","Skyler Ellison","skyler.ellison@contoso.com","Director of Sales","Sales","Austin","United States","US","Kendall Underhill","kendall.underhill@contoso.com","True"
"d052a2ed-ec6b-0dde-7097-9054c2d7ada0","Morgan Holloway","morgan.holloway@contoso.com","Account Executive","Sales","Chicago","United States","US","Skyler Ellison","skyler.ellison@contoso.com","False"
"360ab1dd-53fe-275e-0a64-26810cdc7056","Jordan Ellison","jordan.ellison@contoso.com","Solution Advisor","Sales","Chicago","United States","US","Skyler Ellison","skyler.ellison@contoso.com","False"
"383f35f9-9593-d0ad-5924-2477f70ff148","Emery Northrop","emery.northrop@contoso.com","Solution Advisor","Sales","Chicago","United States","US","Skyler Ellison","skyler.ellison@contoso.com","True"
"d26a3265-fbb5-493c-5457-8fa491e47bcb","Taylor Holloway","taylor.holloway@contoso.com","Sales Specialist","Sales","Austin","United States","US","Skyler Ellison","skyler.ellison@contoso.com","True"
"0a0140b1-cd15-0e7f-d802-879aac9303d5","Taylor Lockwood","taylor.lockwood@contoso.com","Account Executive","Sales","Denver","United States","US","Skyler Ellison","skyler.ellison@contoso.com","True"
"cc058670-d294-2a65-757d-9b01dbce8fb3","Blake Prescott","blake.prescott@contoso.com","Director of Operations","Operations","Chicago","United States","US","Kendall Underhill","kendall.underhill@contoso.com","True"
"557b3bbd-0908-50e5-78f5-998d2340cfac","Skyler Sinclair","skyler.sinclair@contoso.com","Logistics Planner","Operations","Seattle","United States","US","Blake Prescott","blake.prescott@contoso.com","True"
"003d9109-cbac-e01c-116c-9d3e6cb24b89","Finley Garrison","finley.garrison@contoso.com","Project Coordinator","Operations","Reston","United States","US","Blake Prescott","blake.prescott@contoso.com","True"
"740287fd-8eb8-07c0-7dfc-91ef8bb4a93d","Devon Iverson","devon.iverson@contoso.com","Project Coordinator","Operations","Reston","United States","US","Blake Prescott","blake.prescott@contoso.com","False"
"4efc8966-8db6-2284-fde0-6e30c70c093b","Robin Lockwood","robin.lockwood@contoso.com","Project Coordinator","Operations","Austin","United States","US","Blake Prescott","blake.prescott@contoso.com","True"
